,Open,High,Low,Close,Volume
2017-12-01 10:00:00,924.45,931.25,907.7,909.5,5081389
2017-12-04 10:00:00,913.5,913.8,897.35,902.6,4618847
2017-12-05 10:00:00,901.05,920.75,895.45,914.3,8369174
2017-12-06 10:00:00,910.0,930.3,908.8,929.0,11007689
2017-12-07 10:00:00,930.05,936.0,923.0,932.45,5529565
2017-12-08 10:00:00,933.85,936.95,919.05,921.3,5588486
2017-12-11 10:00:00,922.45,926.0,913.55,916.5,4933853
2017-12-12 10:00:00,915.95,929.0,908.0,917.75,7215014
2017-12-13 10:00:00,916.9,924.95,910.7,914.75,4182097
2017-12-14 10:00:00,919.0,924.9,908.75,924.0,5021130
2017-12-15 10:00:00,931.0,932.95,917.7,921.0,11158706
2017-12-18 10:00:00,911.95,932.65,862.65,922.45,8494801
2017-12-19 10:00:00,923.6,927.0,920.0,926.85,4064982
2017-12-20 10:00:00,925.9,927.4,917.0,918.75,4774414
2017-12-21 10:00:00,918.45,923.95,910.0,913.0,4147162
2017-12-22 10:00:00,914.65,922.4,909.3,919.8,4872675
2017-12-26 10:00:00,924.85,938.9,918.15,936.0,5301456
2017-12-27 10:00:00,933.0,937.5,919.0,923.25,4352384
2017-12-28 10:00:00,925.25,934.4,919.1,922.6,7091515
2017-12-29 10:00:00,926.5,932.3,918.5,920.1,5069838
2018-01-01 10:00:00,922.7,922.7,907.5,909.5,4321686
2018-01-02 10:00:00,913.0,919.55,906.4,911.5,4342815
2018-01-03 10:00:00,925.0,926.0,913.05,915.5,6175312
2018-01-04 10:00:00,918.15,921.8,915.7,920.5,4118581
2018-01-05 10:00:00,921.8,926.9,920.25,923.0,3401905
2018-01-08 10:00:00,926.1,931.0,923.5,926.6,4035417
2018-01-09 10:00:00,928.15,943.9,924.0,940.0,6534997
2018-01-10 10:00:00,943.0,947.4,935.5,941.5,5361502
2018-01-11 10:00:00,941.8,942.65,935.0,936.9,3588727
2018-01-12 10:00:00,943.0,952.8,938.25,946.6,6890028
2018-01-15 10:00:00,950.0,958.5,945.2,947.6,5084113
2018-01-16 10:00:00,947.7,947.7,920.0,923.8,4948895
2018-01-17 10:00:00,926.0,929.0,907.0,924.1,6036432
2018-01-18 10:00:00,929.0,929.6,915.1,922.0,4289053
2018-01-19 10:00:00,923.0,934.4,922.1,934.2,4559564
2018-01-22 10:00:00,948.0,974.3,940.0,970.2,20892838
2018-01-23 10:00:00,975.0,990.95,975.0,982.05,10298500
2018-01-24 10:00:00,981.75,981.75,962.65,967.95,6532672
2018-01-25 10:00:00,967.9,972.0,956.15,963.95,6249419
2018-01-29 10:00:00,966.2,977.3,959.3,963.7,4524605
2018-01-30 10:00:00,965.8,965.8,949.0,950.0,4198139
2018-01-31 10:00:00,950.0,964.5,941.55,962.0,5738209
2018-02-01 10:00:00,963.25,972.6,936.6,945.0,7554587
2018-02-02 10:00:00,935.0,943.95,901.0,901.9,13242095
2018-02-05 10:00:00,894.0,912.5,881.8,907.0,8773525
2018-02-06 10:00:00,877.0,898.0,871.0,893.4,11000567
2018-02-07 10:00:00,902.55,905.4,890.0,892.45,7100838
2018-02-08 10:00:00,897.9,910.65,892.35,906.2,6320734
2018-02-09 10:00:00,889.0,902.0,886.0,899.95,5294279
2018-02-12 10:00:00,903.0,918.2,902.05,914.0,5429792
2018-02-14 10:00:00,923.0,942.5,921.0,929.0,10170959
2018-02-15 10:00:00,937.65,945.75,928.15,936.1,6109454
2018-02-16 10:00:00,939.6,942.6,918.1,920.45,4401672
2018-02-19 10:00:00,921.0,932.0,913.55,928.3,4087936
2018-02-20 10:00:00,929.0,929.55,918.8,919.9,3866919
2018-02-21 10:00:00,930.0,932.5,922.15,929.0,5448230
2018-02-22 10:00:00,922.0,931.0,920.0,921.0,5118850
2018-02-23 10:00:00,925.4,938.0,922.75,934.0,4850839
2018-02-26 10:00:00,939.0,944.9,936.6,938.75,3856478
2018-02-27 10:00:00,939.0,955.8,938.35,951.5,6410097
2018-02-28 10:00:00,945.95,957.1,943.2,951.0,25898694
2018-03-01 10:00:00,949.75,959.9,945.95,948.05,4094652
2018-03-05 10:00:00,943.0,950.15,921.6,922.65,5634893
2018-03-06 10:00:00,929.0,936.2,905.1,908.65,7323680
2018-03-07 10:00:00,909.25,909.25,888.05,892.4,7247708
2018-03-08 10:00:00,897.65,914.5,893.3,911.0,6072983
2018-03-09 10:00:00,914.9,919.35,911.05,915.0,4863577
2018-03-12 10:00:00,920.0,933.1,917.55,931.95,3801407
2018-03-13 10:00:00,931.9,936.0,921.35,934.0,5096825
2018-03-14 10:00:00,928.8,932.05,919.2,931.55,6731530
2018-03-15 10:00:00,925.0,929.45,910.0,911.0,5811424
2018-03-16 10:00:00,909.0,909.7,886.05,904.0,14087564
2018-03-19 10:00:00,901.0,906.9,892.0,895.0,5774392
2018-03-20 10:00:00,893.3,904.0,887.05,892.0,6945721
2018-03-21 10:00:00,894.85,902.35,893.3,896.0,6727261
2018-03-22 10:00:00,896.0,911.95,895.75,908.9,10116965
2018-03-23 10:00:00,890.6,900.0,889.1,892.5,10729694
